Carte;cat;Ordre;Categories;titre;description;prix
Saisonniere;1;11;Entrées;Tartare de veau;"Tartare de veau, lait d’amande, caviar de citron vert et ciboulette.";14
Saisonniere;1;13;Entrées;Salade d'endives;"Endives revisitées à la dauphinoise : cuites servies froides, noix, tomates, croutons et sauce au bleu de Sassenage.";11
Saisonniere;1;15;Entrées;Carpaccio de truite;"Carpaccio de truite, vierge de légumes de saison.";13
Saisonniere;1;17;Entrées;Cassolette d’escargots;Cassolette d’escargots avec beurre persillé ou piment d’Espelette.;12
Saisonniere;2;21;Plats;Filets de truite à la Grenobloise;"Filets de truite à la Grenobloise : câpres, croutons, beurre monté au vin blanc, riz noir.";"19,5"
Saisonniere;2;23;Plats;Suprême de volaille fermier;"Suprême de volaille fermier, sauce forestière, gratin dauphinois.";"19,5"
Saisonniere;2;25;Plats;Côte de bœuf pour 2 ;"Côte de bœuf pour 2 personnes environ 1kg, frites, haricots verts.";42
Saisonniere;2;27;Plats;Burger;"Burger : steak haché, pain à l’encre de seiche, salade, tomate, oignons, fromage, frites.";16
Saisonniere;2;29;Plats;Burger végétarien;Burger végétarien : galette de pomme de terre et légumes de saison. ;15
Saisonniere;2;31;Plats;Gratin de ravioles de Romans aux écrevisses;"Gratin de ravioles de Romans aux écrevisses,  méli-mélo de salade.";15
Saisonniere;2;33;Plats;Gratin de ravioles de Romans aux morilles;"Gratin de ravioles de Romans aux morilles, méli-mélo de salade.";14
Saisonniere;3;41;Fromages & desserts ;Assiette de fromages;Assiette de fromages.;"6,5"
Saisonniere;3;43;Fromages & desserts ;Fromage blanc;Fromage blanc.;5
Saisonniere;3;45;Fromages & desserts ;Parfait à la chartreuse;Parfait à la chartreuse.;7
Saisonniere;3;47;Fromages & desserts ;Cœur coulant aux 2 chocolats;Cœur coulant aux 2 chocolats (blanc et noir) . ;"6,5"
Saisonniere;3;49;Fromages & desserts ;Café gourmand;Café gourmand;7
Saisonniere;3;51;Fromages & desserts ;Tartelette aux fruits de saison.;Tartelette aux fruits de saison.;6
Saisonniere;3;53;Fromages & desserts ;Boule de glace;une Boule de glace;2